row	step	emb	level	variant	n	mean_peak	sr80	sr95	never_moved	budget	seeds0-39_mean
ctApinAnn	90000	usocket	0	cfg1	80	0.587	26/80	16/80	18	318	0.579
ctApinAnn	90000	usocket	0	cfgemb	80	0.482	15/80	7/80	25	318	0.492
ctApinAnn	120000	chain	0	cfg1	80	0.483	15/80	5/80	25	688	0.446
ctApinAnn	120000	chain	0	cfgemb	80	0.323	6/80	2/80	39	688	0.331
ctApinAnn	120000	usocket	0	cfg1	80	0.614	22/80	17/80	14	318	0.574
ctApinAnn	120000	usocket	0	cfgemb	80	0.527	23/80	4/80	22	318	0.487
ctApinAnn	120000	usocket	1	cfg1	5	0.000	0/5	0/5	5	345	0.000
ctApinAnn	120000	usocket	1	cfgemb	5	0.000	0/5	0/5	5	345	0.000
ctApinAnn	120000	usocket	2	cfg1	5	0.000	0/5	0/5	5	307	0.000
ctApinAnn	120000	usocket	2	cfgemb	5	0.000	0/5	0/5	5	307	0.000
ctApinAnn	120000	usocket	3	cfg1	5	0.045	0/5	0/5	3	378	0.045
ctApinAnn	120000	usocket	3	cfgemb	5	0.000	0/5	0/5	5	378	0.000
ctApinAnn	120000	usocket	4	cfg1	5	0.000	0/5	0/5	5	333	0.000
ctApinAnn	120000	usocket	4	cfgemb	5	0.000	0/5	0/5	5	333	0.000
ctApinAnn	120000	usocket	5	cfg1	5	0.000	0/5	0/5	5	328	0.000
ctApinAnn	120000	usocket	5	cfgemb	5	0.000	0/5	0/5	5	328	0.000
ctApinAnn	120000	usocket	6	cfg1	5	0.000	0/5	0/5	5	367	0.000
ctApinAnn	120000	usocket	6	cfgemb	5	0.000	0/5	0/5	5	367	0.000
ctApinAnn	120000	usocket	7	cfg1	5	0.000	0/5	0/5	5	443	0.000
ctApinAnn	120000	usocket	7	cfgemb	5	0.000	0/5	0/5	5	443	0.000
ctApinAnn	120000	usocket	8	cfg1	5	0.000	0/5	0/5	5	420	0.000
ctApinAnn	120000	usocket	8	cfgemb	5	0.000	0/5	0/5	5	420	0.000
ctApinAnn	120000	usocket	9	cfg1	5	0.000	0/5	0/5	5	432	0.000
ctApinAnn	120000	usocket	9	cfgemb	5	0.000	0/5	0/5	5	432	0.000
ctApinAnn	120000	usocket	10	cfg1	5	0.000	0/5	0/5	5	368	0.000
ctApinAnn	120000	usocket	10	cfgemb	5	0.000	0/5	0/5	5	368	0.000
ctApinAnn	120000	usocket	11	cfg1	5	0.000	0/5	0/5	5	323	0.000
ctApinAnn	120000	usocket	11	cfgemb	5	0.000	0/5	0/5	5	323	0.000
ctApinAnn	120000	usocket	12	cfg1	5	0.165	1/5	0/5	4	338	0.165
ctApinAnn	120000	usocket	12	cfgemb	5	0.000	0/5	0/5	5	338	0.000
ctApinAnn	120000	usocket	13	cfg1	5	0.195	0/5	0/5	3	380	0.195
ctApinAnn	120000	usocket	13	cfgemb	5	0.000	0/5	0/5	5	380	0.000
ctApinAnn	120000	usocket	14	cfg1	5	0.041	0/5	0/5	4	348	0.041
ctApinAnn	120000	usocket	14	cfgemb	5	0.103	0/5	0/5	4	348	0.103
ctApinAnn	120000	usocket	15	cfg1	5	0.000	0/5	0/5	5	399	0.000
ctApinAnn	120000	usocket	15	cfgemb	5	0.000	0/5	0/5	5	399	0.000
ctApinAnn	120000	usocket	16	cfg1	5	0.000	0/5	0/5	5	463	0.000
ctApinAnn	120000	usocket	16	cfgemb	5	0.000	0/5	0/5	5	463	0.000
ctApinAnn	120000	usocket	17	cfg1	5	0.000	0/5	0/5	5	476	0.000
ctApinAnn	120000	usocket	17	cfgemb	5	0.000	0/5	0/5	5	476	0.000
ctApinAnn	120000	usocket	18	cfg1	5	0.000	0/5	0/5	5	501	0.000
ctApinAnn	120000	usocket	18	cfgemb	5	0.000	0/5	0/5	5	501	0.000
ctApinAnn	120000	usocket	19	cfg1	5	0.000	0/5	0/5	5	519	0.000
ctApinAnn	120000	usocket	19	cfgemb	5	0.000	0/5	0/5	5	519	0.000
ctApinAnn	120000	usocket	20	cfg1	5	0.000	0/5	0/5	5	564	0.000
ctApinAnn	120000	usocket	20	cfgemb	5	0.000	0/5	0/5	5	564	0.000
ctApinAnn	120000	usocket	21	cfg1	5	0.000	0/5	0/5	5	451	0.000
ctApinAnn	120000	usocket	21	cfgemb	5	0.000	0/5	0/5	5	451	0.000
ctApinAnn	120000	usocket	22	cfg1	5	0.004	0/5	0/5	5	389	0.004
ctApinAnn	120000	usocket	22	cfgemb	5	0.000	0/5	0/5	5	389	0.000
ctApinAnn	120000	usocket	23	cfg1	5	0.000	0/5	0/5	5	319	0.000
ctApinAnn	120000	usocket	23	cfgemb	5	0.043	0/5	0/5	4	319	0.043
ctApinAnn	120000	usocket	24	cfg1	5	0.000	0/5	0/5	5	291	0.000
ctApinAnn	120000	usocket	24	cfgemb	5	0.042	0/5	0/5	4	291	0.042
ctApinAnn	120000	usocket	25	cfg1	5	0.000	0/5	0/5	5	330	0.000
ctApinAnn	120000	usocket	25	cfgemb	5	0.000	0/5	0/5	5	330	0.000
ctApinAnn	120000	usocket	26	cfg1	5	0.000	0/5	0/5	5	362	0.000
ctApinAnn	120000	usocket	26	cfgemb	5	0.000	0/5	0/5	5	362	0.000
ctApinAnn	120000	usocket	27	cfg1	5	0.000	0/5	0/5	5	472	0.000
ctApinAnn	120000	usocket	27	cfgemb	5	0.000	0/5	0/5	5	472	0.000
ctApinAnn	120000	usocket	28	cfg1	5	0.000	0/5	0/5	5	548	0.000
ctApinAnn	120000	usocket	28	cfgemb	5	0.000	0/5	0/5	5	548	0.000
ctApinAnn	120000	usocket	29	cfg1	5	0.000	0/5	0/5	5	446	0.000
ctApinAnn	120000	usocket	29	cfgemb	5	0.023	0/5	0/5	4	446	0.023
ctApinAnn	120000	usocket	30	cfg1	5	0.000	0/5	0/5	5	399	0.000
ctApinAnn	120000	usocket	30	cfgemb	5	0.000	0/5	0/5	5	399	0.000
ctApinAnn	150000	chain	0	cfg1	80	0.485	10/80	4/80	22	688	0.557
ctApinAnn	150000	chain	0	cfgemb	80	0.241	7/80	2/80	51	688	0.271
ctApinAnn	150000	usocket	0	cfg1	80	0.638	31/80	22/80	16	318	0.576
ctApinAnn	150000	usocket	0	cfgemb	80	0.575	18/80	7/80	15	318	0.613
ctApinAnn	180000	chain	0	cfg1	80	0.535	16/80	12/80	21	688	0.556
ctApinAnn	180000	chain	0	cfgemb	80	0.238	6/80	2/80	51	688	0.237
ctApinAnn	180000	usocket	0	cfg1	80	0.583	22/80	17/80	17	318	0.520
ctApinAnn	180000	usocket	0	cfgemb	80	0.520	22/80	6/80	25	318	0.488
ctApinAnn	180000	usocket	1	cfg1	5	0.000	0/5	0/5	5	345	0.000
ctApinAnn	180000	usocket	1	cfgemb	5	0.000	0/5	0/5	5	345	0.000
ctApinAnn	180000	usocket	2	cfg1	5	0.000	0/5	0/5	5	307	0.000
ctApinAnn	180000	usocket	2	cfgemb	5	0.000	0/5	0/5	5	307	0.000
ctApinAnn	180000	usocket	3	cfg1	5	0.000	0/5	0/5	5	378	0.000
ctApinAnn	180000	usocket	3	cfgemb	5	0.000	0/5	0/5	5	378	0.000
ctApinAnn	180000	usocket	4	cfg1	5	0.000	0/5	0/5	5	333	0.000
ctApinAnn	180000	usocket	4	cfgemb	5	0.000	0/5	0/5	5	333	0.000
ctApinAnn	180000	usocket	5	cfg1	5	0.000	0/5	0/5	5	328	0.000
ctApinAnn	180000	usocket	5	cfgemb	5	0.000	0/5	0/5	5	328	0.000
ctApinAnn	180000	usocket	6	cfg1	5	0.000	0/5	0/5	5	367	0.000
ctApinAnn	180000	usocket	6	cfgemb	5	0.000	0/5	0/5	5	367	0.000
ctApinAnn	180000	usocket	7	cfg1	5	0.000	0/5	0/5	5	443	0.000
ctApinAnn	180000	usocket	7	cfgemb	5	0.000	0/5	0/5	5	443	0.000
ctApinAnn	180000	usocket	8	cfg1	5	0.000	0/5	0/5	5	420	0.000
ctApinAnn	180000	usocket	8	cfgemb	5	0.000	0/5	0/5	5	420	0.000
ctApinAnn	180000	usocket	9	cfg1	5	0.000	0/5	0/5	5	432	0.000
ctApinAnn	180000	usocket	9	cfgemb	5	0.000	0/5	0/5	5	432	0.000
ctApinAnn	180000	usocket	10	cfg1	5	0.000	0/5	0/5	5	368	0.000
ctApinAnn	180000	usocket	10	cfgemb	5	0.000	0/5	0/5	5	368	0.000
ctApinAnn	180000	usocket	11	cfg1	5	0.001	0/5	0/5	5	323	0.001
ctApinAnn	180000	usocket	11	cfgemb	5	0.000	0/5	0/5	5	323	0.000
ctApinAnn	180000	usocket	12	cfg1	5	0.081	0/5	0/5	4	338	0.081
ctApinAnn	180000	usocket	12	cfgemb	5	0.000	0/5	0/5	5	338	0.000
ctApinAnn	180000	usocket	13	cfg1	5	0.002	0/5	0/5	5	380	0.002
ctApinAnn	180000	usocket	13	cfgemb	5	0.000	0/5	0/5	5	380	0.000
ctApinAnn	180000	usocket	14	cfg1	5	0.087	0/5	0/5	3	348	0.087
ctApinAnn	180000	usocket	14	cfgemb	5	0.048	0/5	0/5	4	348	0.048
ctApinAnn	180000	usocket	15	cfg1	5	0.000	0/5	0/5	5	399	0.000
ctApinAnn	180000	usocket	15	cfgemb	5	0.000	0/5	0/5	5	399	0.000
ctApinAnn	180000	usocket	16	cfg1	5	0.000	0/5	0/5	5	463	0.000
ctApinAnn	180000	usocket	16	cfgemb	5	0.000	0/5	0/5	5	463	0.000
ctApinAnn	180000	usocket	17	cfg1	5	0.000	0/5	0/5	5	476	0.000
ctApinAnn	180000	usocket	17	cfgemb	5	0.000	0/5	0/5	5	476	0.000
ctApinAnn	180000	usocket	18	cfg1	5	0.000	0/5	0/5	5	501	0.000
ctApinAnn	180000	usocket	18	cfgemb	5	0.000	0/5	0/5	5	501	0.000
ctApinAnn	180000	usocket	19	cfg1	5	0.000	0/5	0/5	5	519	0.000
ctApinAnn	180000	usocket	19	cfgemb	5	0.000	0/5	0/5	5	519	0.000
ctApinAnn	180000	usocket	20	cfg1	5	0.000	0/5	0/5	5	564	0.000
ctApinAnn	180000	usocket	20	cfgemb	5	0.000	0/5	0/5	5	564	0.000
ctApinAnn	180000	usocket	21	cfg1	5	0.000	0/5	0/5	5	451	0.000
ctApinAnn	180000	usocket	21	cfgemb	5	0.000	0/5	0/5	5	451	0.000
ctApinAnn	180000	usocket	22	cfg1	5	0.000	0/5	0/5	5	389	0.000
ctApinAnn	180000	usocket	22	cfgemb	5	0.000	0/5	0/5	5	389	0.000
ctApinAnn	180000	usocket	23	cfg1	5	0.066	0/5	0/5	3	319	0.066
ctApinAnn	180000	usocket	23	cfgemb	5	0.051	0/5	0/5	4	319	0.051
ctApinAnn	180000	usocket	24	cfg1	5	0.049	0/5	0/5	4	291	0.049
ctApinAnn	180000	usocket	24	cfgemb	5	0.087	0/5	0/5	4	291	0.087
ctApinAnn	180000	usocket	25	cfg1	5	0.000	0/5	0/5	5	330	0.000
ctApinAnn	180000	usocket	25	cfgemb	5	0.000	0/5	0/5	5	330	0.000
ctApinAnn	180000	usocket	26	cfg1	5	0.131	0/5	0/5	4	362	0.131
ctApinAnn	180000	usocket	26	cfgemb	5	0.000	0/5	0/5	5	362	0.000
ctApinAnn	180000	usocket	27	cfg1	5	0.000	0/5	0/5	5	472	0.000
ctApinAnn	180000	usocket	27	cfgemb	5	0.000	0/5	0/5	5	472	0.000
ctApinAnn	180000	usocket	28	cfg1	5	0.000	0/5	0/5	5	548	0.000
ctApinAnn	180000	usocket	28	cfgemb	5	0.000	0/5	0/5	5	548	0.000
ctApinAnn	180000	usocket	29	cfg1	5	0.000	0/5	0/5	5	446	0.000
ctApinAnn	180000	usocket	29	cfgemb	5	0.000	0/5	0/5	5	446	0.000
ctApinAnn	180000	usocket	30	cfg1	5	0.000	0/5	0/5	5	399	0.000
ctApinAnn	180000	usocket	30	cfgemb	5	0.000	0/5	0/5	5	399	0.000
ctApinAnn	210000	chain	0	cfg1	80	0.542	19/80	10/80	21	688	0.529
ctApinAnn	210000	chain	0	cfgemb	80	0.192	5/80	1/80	56	688	0.209
ctApinAnn	210000	usocket	0	cfg1	80	0.588	25/80	18/80	18	318	0.595
ctApinAnn	210000	usocket	0	cfgemb	80	0.498	21/80	13/80	28	318	0.521
ctApinAnn	240000	chain	0	cfg1	80	0.503	21/80	15/80	25	688	0.502
ctApinAnn	240000	chain	0	cfgemb	80	0.207	7/80	2/80	54	688	0.247
ctApinAnn	240000	usocket	0	cfg1	80	0.607	28/80	23/80	18	318	0.579
ctApinAnn	240000	usocket	0	cfgemb	80	0.495	19/80	7/80	25	318	0.528
ctApinAnn	240000	usocket	1	cfg1	5	0.000	0/5	0/5	5	345	0.000
ctApinAnn	240000	usocket	1	cfgemb	5	0.000	0/5	0/5	5	345	0.000
ctApinAnn	240000	usocket	2	cfg1	5	0.000	0/5	0/5	5	307	0.000
ctApinAnn	240000	usocket	2	cfgemb	5	0.000	0/5	0/5	5	307	0.000
ctApinAnn	240000	usocket	3	cfg1	5	0.000	0/5	0/5	5	378	0.000
ctApinAnn	240000	usocket	3	cfgemb	5	0.000	0/5	0/5	5	378	0.000
ctApinAnn	240000	usocket	4	cfg1	5	0.000	0/5	0/5	5	333	0.000
ctApinAnn	240000	usocket	4	cfgemb	5	0.000	0/5	0/5	5	333	0.000
ctApinAnn	240000	usocket	5	cfg1	5	0.000	0/5	0/5	5	328	0.000
ctApinAnn	240000	usocket	5	cfgemb	5	0.000	0/5	0/5	5	328	0.000
ctApinAnn	240000	usocket	6	cfg1	5	0.000	0/5	0/5	5	367	0.000
ctApinAnn	240000	usocket	6	cfgemb	5	0.000	0/5	0/5	5	367	0.000
ctApinAnn	240000	usocket	7	cfg1	5	0.000	0/5	0/5	5	443	0.000
ctApinAnn	240000	usocket	7	cfgemb	5	0.000	0/5	0/5	5	443	0.000
ctApinAnn	240000	usocket	8	cfg1	5	0.000	0/5	0/5	5	420	0.000
ctApinAnn	240000	usocket	8	cfgemb	5	0.000	0/5	0/5	5	420	0.000
ctApinAnn	240000	usocket	9	cfg1	5	0.000	0/5	0/5	5	432	0.000
ctApinAnn	240000	usocket	9	cfgemb	5	0.000	0/5	0/5	5	432	0.000
ctApinAnn	240000	usocket	10	cfg1	5	0.002	0/5	0/5	5	368	0.002
ctApinAnn	240000	usocket	10	cfgemb	5	0.000	0/5	0/5	5	368	0.000
ctApinAnn	240000	usocket	11	cfg1	5	0.000	0/5	0/5	5	323	0.000
ctApinAnn	240000	usocket	11	cfgemb	5	0.000	0/5	0/5	5	323	0.000
ctApinAnn	240000	usocket	12	cfg1	5	0.000	0/5	0/5	5	338	0.000
ctApinAnn	240000	usocket	12	cfgemb	5	0.000	0/5	0/5	5	338	0.000
ctApinAnn	240000	usocket	13	cfg1	5	0.102	0/5	0/5	3	380	0.102
ctApinAnn	240000	usocket	13	cfgemb	5	0.000	0/5	0/5	5	380	0.000
ctApinAnn	240000	usocket	14	cfg1	5	0.058	0/5	0/5	4	348	0.058
ctApinAnn	240000	usocket	14	cfgemb	5	0.039	0/5	0/5	4	348	0.039
ctApinAnn	240000	usocket	15	cfg1	5	0.000	0/5	0/5	5	399	0.000
ctApinAnn	240000	usocket	15	cfgemb	5	0.000	0/5	0/5	5	399	0.000
ctApinAnn	240000	usocket	16	cfg1	5	0.000	0/5	0/5	5	463	0.000
ctApinAnn	240000	usocket	16	cfgemb	5	0.000	0/5	0/5	5	463	0.000
ctApinAnn	240000	usocket	17	cfg1	5	0.136	0/5	0/5	4	476	0.136
ctApinAnn	240000	usocket	17	cfgemb	5	0.000	0/5	0/5	5	476	0.000
ctApinAnn	240000	usocket	18	cfg1	5	0.000	0/5	0/5	5	501	0.000
ctApinAnn	240000	usocket	18	cfgemb	5	0.000	0/5	0/5	5	501	0.000
ctApinAnn	240000	usocket	19	cfg1	5	0.000	0/5	0/5	5	519	0.000
ctApinAnn	240000	usocket	19	cfgemb	5	0.000	0/5	0/5	5	519	0.000
ctApinAnn	240000	usocket	20	cfg1	5	0.000	0/5	0/5	5	564	0.000
ctApinAnn	240000	usocket	20	cfgemb	5	0.000	0/5	0/5	5	564	0.000
ctApinAnn	240000	usocket	21	cfg1	5	0.000	0/5	0/5	5	451	0.000
ctApinAnn	240000	usocket	21	cfgemb	5	0.000	0/5	0/5	5	451	0.000
ctApinAnn	240000	usocket	22	cfg1	5	0.010	0/5	0/5	5	389	0.010
ctApinAnn	240000	usocket	22	cfgemb	5	0.020	0/5	0/5	5	389	0.020
ctApinAnn	240000	usocket	23	cfg1	5	0.132	0/5	0/5	3	319	0.132
ctApinAnn	240000	usocket	23	cfgemb	5	0.044	0/5	0/5	4	319	0.044
ctApinAnn	240000	usocket	24	cfg1	5	0.035	0/5	0/5	5	291	0.035
ctApinAnn	240000	usocket	24	cfgemb	5	0.034	0/5	0/5	4	291	0.034
ctApinAnn	240000	usocket	25	cfg1	5	0.000	0/5	0/5	5	330	0.000
ctApinAnn	240000	usocket	25	cfgemb	5	0.000	0/5	0/5	5	330	0.000
ctApinAnn	240000	usocket	26	cfg1	5	0.000	0/5	0/5	5	362	0.000
ctApinAnn	240000	usocket	26	cfgemb	5	0.000	0/5	0/5	5	362	0.000
ctApinAnn	240000	usocket	27	cfg1	5	0.000	0/5	0/5	5	472	0.000
ctApinAnn	240000	usocket	27	cfgemb	5	0.000	0/5	0/5	5	472	0.000
ctApinAnn	240000	usocket	28	cfg1	5	0.000	0/5	0/5	5	548	0.000
ctApinAnn	240000	usocket	28	cfgemb	5	0.000	0/5	0/5	5	548	0.000
ctApinAnn	240000	usocket	29	cfg1	5	0.069	0/5	0/5	4	446	0.069
ctApinAnn	240000	usocket	29	cfgemb	5	0.000	0/5	0/5	5	446	0.000
ctApinAnn	240000	usocket	30	cfg1	5	0.000	0/5	0/5	5	399	0.000
ctApinAnn	240000	usocket	30	cfgemb	5	0.000	0/5	0/5	5	399	0.000
ctAwd	30000	chain	0	cfg1	40	0.377	4/40	3/40	16	688	nan
ctAwd	30000	usocket	0	cfg1	40	0.369	4/40	2/40	15	318	0.369
ctAwd	30000	usocket	0	cfgemb	40	0.473	10/40	2/40	13	318	nan
ctAwd	60000	chain	0	cfg1	80	0.595	20/80	6/80	13	688	0.596
ctAwd	60000	chain	0	cfgemb	80	0.392	13/80	1/80	36	688	0.409
ctAwd	60000	usocket	0	cfg1	80	0.491	20/80	10/80	25	318	0.533
ctAwd	60000	usocket	0	cfgemb	80	0.444	16/80	3/80	30	318	0.510
ctAwd	90000	chain	0	cfg1	80	0.589	20/80	9/80	15	688	0.594
ctAwd	90000	chain	0	cfgemb	80	0.391	11/80	1/80	35	688	0.362
ctAwd	90000	usocket	0	cfg1	80	0.565	21/80	16/80	20	318	0.543
ctAwd	90000	usocket	0	cfgemb	80	0.538	25/80	10/80	23	318	0.549
ctAwd	120000	chain	0	cfg1	80	0.634	25/80	15/80	12	688	0.605
ctAwd	120000	chain	0	cfgemb	80	0.337	8/80	1/80	41	688	0.351
ctAwd	120000	usocket	0	cfg1	80	0.610	25/80	14/80	16	318	0.582
ctAwd	120000	usocket	0	cfgemb	80	0.568	25/80	9/80	19	318	0.525
ctAwd	120000	usocket	1	cfg1	5	0.000	0/5	0/5	5	345	0.000
ctAwd	120000	usocket	1	cfgemb	5	0.000	0/5	0/5	5	345	0.000
ctAwd	120000	usocket	2	cfg1	5	0.000	0/5	0/5	5	307	0.000
ctAwd	120000	usocket	2	cfgemb	5	0.000	0/5	0/5	5	307	0.000
ctAwd	120000	usocket	3	cfg1	5	0.156	0/5	0/5	4	378	0.156
ctAwd	120000	usocket	3	cfgemb	5	0.140	0/5	0/5	4	378	0.140
ctAwd	120000	usocket	4	cfg1	5	0.000	0/5	0/5	5	333	0.000
ctAwd	120000	usocket	4	cfgemb	5	0.123	0/5	0/5	4	333	0.123
ctAwd	120000	usocket	5	cfg1	5	0.000	0/5	0/5	5	328	0.000
ctAwd	120000	usocket	5	cfgemb	5	0.000	0/5	0/5	5	328	0.000
ctAwd	120000	usocket	6	cfg1	5	0.000	0/5	0/5	5	367	0.000
ctAwd	120000	usocket	6	cfgemb	5	0.000	0/5	0/5	5	367	0.000
ctAwd	120000	usocket	7	cfg1	5	0.000	0/5	0/5	5	443	0.000
ctAwd	120000	usocket	7	cfgemb	5	0.000	0/5	0/5	5	443	0.000
ctAwd	120000	usocket	8	cfg1	5	0.000	0/5	0/5	5	420	0.000
ctAwd	120000	usocket	8	cfgemb	5	0.000	0/5	0/5	5	420	0.000
ctAwd	120000	usocket	9	cfg1	5	0.000	0/5	0/5	5	432	0.000
ctAwd	120000	usocket	9	cfgemb	5	0.000	0/5	0/5	5	432	0.000
ctAwd	120000	usocket	10	cfg1	5	0.000	0/5	0/5	5	368	0.000
ctAwd	120000	usocket	10	cfgemb	5	0.000	0/5	0/5	5	368	0.000
ctAwd	120000	usocket	11	cfg1	5	0.000	0/5	0/5	5	323	0.000
ctAwd	120000	usocket	11	cfgemb	5	0.000	0/5	0/5	5	323	0.000
ctAwd	120000	usocket	12	cfg1	5	0.138	0/5	0/5	4	338	0.138
ctAwd	120000	usocket	12	cfgemb	5	0.000	0/5	0/5	5	338	0.000
ctAwd	120000	usocket	13	cfg1	5	0.000	0/5	0/5	5	380	0.000
ctAwd	120000	usocket	13	cfgemb	5	0.001	0/5	0/5	5	380	0.001
ctAwd	120000	usocket	14	cfg1	5	0.000	0/5	0/5	5	348	0.000
ctAwd	120000	usocket	14	cfgemb	5	0.000	0/5	0/5	5	348	0.000
ctAwd	120000	usocket	15	cfg1	5	0.000	0/5	0/5	5	399	0.000
ctAwd	120000	usocket	15	cfgemb	5	0.000	0/5	0/5	5	399	0.000
ctAwd	120000	usocket	16	cfg1	5	0.000	0/5	0/5	5	463	0.000
ctAwd	120000	usocket	16	cfgemb	5	0.000	0/5	0/5	5	463	0.000
ctAwd	120000	usocket	17	cfg1	5	0.000	0/5	0/5	5	476	0.000
ctAwd	120000	usocket	17	cfgemb	5	0.000	0/5	0/5	5	476	0.000
ctAwd	120000	usocket	18	cfg1	5	0.000	0/5	0/5	5	501	0.000
ctAwd	120000	usocket	18	cfgemb	5	0.000	0/5	0/5	5	501	0.000
ctAwd	120000	usocket	19	cfg1	5	0.000	0/5	0/5	5	519	0.000
ctAwd	120000	usocket	19	cfgemb	5	0.000	0/5	0/5	5	519	0.000
ctAwd	120000	usocket	20	cfg1	5	0.000	0/5	0/5	5	564	0.000
ctAwd	120000	usocket	20	cfgemb	5	0.000	0/5	0/5	5	564	0.000
ctAwd	120000	usocket	21	cfg1	5	0.000	0/5	0/5	5	451	0.000
ctAwd	120000	usocket	21	cfgemb	5	0.000	0/5	0/5	5	451	0.000
ctAwd	120000	usocket	22	cfg1	5	0.006	0/5	0/5	5	389	0.006
ctAwd	120000	usocket	22	cfgemb	5	0.112	0/5	0/5	4	389	0.112
ctAwd	120000	usocket	23	cfg1	5	0.150	0/5	0/5	3	319	0.150
ctAwd	120000	usocket	23	cfgemb	5	0.005	0/5	0/5	5	319	0.005
ctAwd	120000	usocket	24	cfg1	5	0.002	0/5	0/5	5	291	0.002
ctAwd	120000	usocket	24	cfgemb	5	0.000	0/5	0/5	5	291	0.000
ctAwd	120000	usocket	25	cfg1	5	0.019	0/5	0/5	5	330	0.019
ctAwd	120000	usocket	25	cfgemb	5	0.044	0/5	0/5	4	330	0.044
ctAwd	120000	usocket	26	cfg1	5	0.000	0/5	0/5	5	362	0.000
ctAwd	120000	usocket	26	cfgemb	5	0.001	0/5	0/5	5	362	0.001
ctAwd	120000	usocket	27	cfg1	5	0.000	0/5	0/5	5	472	0.000
ctAwd	120000	usocket	27	cfgemb	5	0.000	0/5	0/5	5	472	0.000
ctAwd	120000	usocket	28	cfg1	5	0.000	0/5	0/5	5	548	0.000
ctAwd	120000	usocket	28	cfgemb	5	0.000	0/5	0/5	5	548	0.000
ctAwd	120000	usocket	29	cfg1	5	0.000	0/5	0/5	5	446	0.000
ctAwd	120000	usocket	29	cfgemb	5	0.003	0/5	0/5	5	446	0.003
ctAwd	120000	usocket	30	cfg1	5	0.000	0/5	0/5	5	399	0.000
ctAwd	120000	usocket	30	cfgemb	5	0.000	0/5	0/5	5	399	0.000
ctAwd	150000	chain	0	cfg1	80	0.577	26/80	16/80	18	688	0.572
ctAwd	150000	chain	0	cfgemb	80	0.356	9/80	2/80	39	688	0.364
ctAwd	150000	usocket	0	cfg1	80	0.603	28/80	22/80	17	318	0.626
ctAwd	150000	usocket	0	cfgemb	80	0.552	24/80	14/80	21	318	0.570
ctAwd	180000	chain	0	cfg1	80	0.586	20/80	14/80	16	688	0.595
ctAwd	180000	chain	0	cfgemb	80	0.422	17/80	7/80	34	688	0.435
ctAwd	180000	usocket	0	cfg1	80	0.709	30/80	23/80	7	318	0.672
ctAwd	180000	usocket	0	cfgemb	80	0.566	29/80	20/80	23	318	0.574
ctAwd	180000	usocket	1	cfg1	5	0.000	0/5	0/5	5	345	0.000
ctAwd	180000	usocket	1	cfgemb	5	0.000	0/5	0/5	5	345	0.000
ctAwd	180000	usocket	2	cfg1	5	0.000	0/5	0/5	5	307	0.000
ctAwd	180000	usocket	2	cfgemb	5	0.000	0/5	0/5	5	307	0.000
ctAwd	180000	usocket	3	cfg1	5	0.012	0/5	0/5	5	378	0.012
ctAwd	180000	usocket	3	cfgemb	5	0.011	0/5	0/5	5	378	0.011
ctAwd	180000	usocket	4	cfg1	5	0.000	0/5	0/5	5	333	0.000
ctAwd	180000	usocket	4	cfgemb	5	0.123	0/5	0/5	4	333	0.123
ctAwd	180000	usocket	5	cfg1	5	0.000	0/5	0/5	5	328	0.000
ctAwd	180000	usocket	5	cfgemb	5	0.000	0/5	0/5	5	328	0.000
ctAwd	180000	usocket	6	cfg1	5	0.000	0/5	0/5	5	367	0.000
ctAwd	180000	usocket	6	cfgemb	5	0.000	0/5	0/5	5	367	0.000
ctAwd	180000	usocket	7	cfg1	5	0.000	0/5	0/5	5	443	0.000
ctAwd	180000	usocket	7	cfgemb	5	0.000	0/5	0/5	5	443	0.000
ctAwd	180000	usocket	8	cfg1	5	0.000	0/5	0/5	5	420	0.000
ctAwd	180000	usocket	8	cfgemb	5	0.000	0/5	0/5	5	420	0.000
ctAwd	180000	usocket	9	cfg1	5	0.000	0/5	0/5	5	432	0.000
ctAwd	180000	usocket	9	cfgemb	5	0.000	0/5	0/5	5	432	0.000
ctAwd	180000	usocket	10	cfg1	5	0.000	0/5	0/5	5	368	0.000
ctAwd	180000	usocket	10	cfgemb	5	0.000	0/5	0/5	5	368	0.000
ctAwd	180000	usocket	11	cfg1	5	0.000	0/5	0/5	5	323	0.000
ctAwd	180000	usocket	11	cfgemb	5	0.000	0/5	0/5	5	323	0.000
ctAwd	180000	usocket	12	cfg1	5	0.253	0/5	0/5	3	338	0.253
ctAwd	180000	usocket	12	cfgemb	5	0.121	0/5	0/5	4	338	0.121
ctAwd	180000	usocket	13	cfg1	5	0.111	0/5	0/5	4	380	0.111
ctAwd	180000	usocket	13	cfgemb	5	0.076	0/5	0/5	4	380	0.076
ctAwd	180000	usocket	14	cfg1	5	0.089	0/5	0/5	4	348	0.089
ctAwd	180000	usocket	14	cfgemb	5	0.000	0/5	0/5	5	348	0.000
ctAwd	180000	usocket	15	cfg1	5	0.000	0/5	0/5	5	399	0.000
ctAwd	180000	usocket	15	cfgemb	5	0.000	0/5	0/5	5	399	0.000
ctAwd	180000	usocket	16	cfg1	5	0.000	0/5	0/5	5	463	0.000
ctAwd	180000	usocket	16	cfgemb	5	0.000	0/5	0/5	5	463	0.000
ctAwd	180000	usocket	17	cfg1	5	0.000	0/5	0/5	5	476	0.000
ctAwd	180000	usocket	17	cfgemb	5	0.000	0/5	0/5	5	476	0.000
